Theo Bộ Luật lao động khái niệm người lao động như thế nào?|Là người làm việc cho NSDLĐ theo thỏa thuận, được trả lương và chịu sự quản lý, điều hành, giám sát của NSDLĐ.Độ tuổi lao động tối thiểu của người lao động là đủ 15 tuổi,.
Theo Luật phòng, chống thiên tai thì nguồn nhân lực cho phòng, chống thiên tai gồm:|Tổ chức, hộ gia đình và cá nhân; Dân quân tự vệ; Quân đội nhân dân, Công an nhân dân; Tổ chức, cá nhân tình nguyện tham gia hỗ trợ.
Theo Nghị định số 06/2021/NĐ-CP thì khái niệm An toàn trong thi công xây dựng công trình là:|Là giải pháp phòng, chống tác động của các yếu tố nguy hiểm, yếu tố có hại nhằm đảm bảo không gây thương tật, tử vong, không làm suy giảm sức khỏe đối với con người, ngăn ngừa sự cố gây mất ATLĐ.
Theo Nghị định số 37/NĐ-CP ngày 15/5/2016 thì điều kiện của NLĐ để được hỗ trợ khám bệnh nghề nghiệp (BNN) như thế nào?|NLĐ đã được phát hiện có BNN tại cơ sở y tế thẩm quyền, còn nằm trong thời gian bảo đảm BNN và có thời gian đóng BH TNLĐ từ đủ 12 tháng trở lên (liên tục đến tháng liền kề).
Theo Nghị định số 39/NĐ-CP ngày 15/5/2016 thì trách nhiệm của người sử dụng lao động về việc báo cáo định kỳ tình hình TNLĐ là:|Báo cáo lên Sở LĐTBXH địa phương định kỳ 6 tháng (trước 05/7) và 01 năm (trước 10/01)
Theo Quy định của Luật AT-VSLĐ thì người thử việc; người học nghề, tập nghề có được coi là Người lao động không?|Được coi là Người lao động.
Theo Quy định tại Nghị định 14/2014/NĐ-CP ngày 26/2/2014 của Chính phủ thì khoáng cách thấp nhất từ dây dẫn (ở trạng thái võng cực đại) đến mặt đất tự nhiên khi đường dây vượt qua các công trình có tầm quan trọng về kinh tế, chính trị, văn hoá, an ninh, quốc phòng, thông tin liên lạc, những nới thường xuyên tập trung đông người, các khu di tích lịch sử văn hoá, danh lam thắng cảnh không thấp hơn:|14 mét đối với điện áp đến 35kV; 15 mét đối với 110kV; 18 mét đối với 220kV
Theo Quy định tại Nghị định 44/2016/NĐ-CP ngày 15/5/2016 của Chính phủ thì đối tượng huấn luyện được chia thành mấy nhóm?|Sáu nhóm
Theo Quy định tại Nghị định 51/2020/NĐ-CP ngày 21/4/2020 của Chính phủ thì Nghị định này quy định chi tiết về bồi thường, hỗ trợ như thế nào?|Bồi thường, hỗ trợ khi xây dựng, cải tạo, sửa chữa, quản lý vận hành lưới điện cao áp.
Theo Quy định tại Thông tư 05/2021/TT-BCT ngày 02/8/2021 thì đối tượng áp dụng của Thông tư gồm:|Các tổ chức, cá nhân có hoạt động điện lực và sử dụng điện; sử dụng, vận hành các thiết bị, dụng cụ điện phải kiểm định an toàn kỹ thuật; tổ chức kiểm định an toàn kỹ thuật thiết bị, dụng cụ điện.
Theo Thông tư 33/2015/TT-BCT ngày 27/10/2015 của Bộ Công Thương thì nội dung kiểm định về điện được quy định như thế nào?|Đo điện trở cách điện; Đo điện trở của các cuộn dây; Đo điện trở tiếp xúc; Đo dòng điện rò; Đo các thông số đóng cắt thiết bị.
Theo Thông tư 39/2020/TT-BCT thì Đơn vị quản lý vận hành là:|Đơn vị trực tiếp thực hiện quản lý, vận hành các công trình điện lực.
Theo Thông tư số 28/2014/TT-BCT ngày 15/9/2014 ban hành Quy trình Xử lý sự cố hệ thống điện Quốc gia, Đơn vị quản lý vận hành có trách nhiệm:|Ban hành quy trình vận hành và xử lý sự cố thiết bị thuộc phạm vi quản lý ;Định kỳ kiểm tra, bảo dưỡng, sửa chữa thiết bị và hệ thống điều khiển, bảo vệ của đường dây trên không, đường dây cáp, trạm điện, nhà máy điện, trung tâm điều khiển.
Theo Thông tư số 40/2014/TT-BCT ngày 05/11/2014 thì Cấp điều độ có quyền điều khiển là:|Cấp điều độ có quyền chỉ huy, điều độ hệ thống điện theo phân cấp điều độ.
Theo Bộ Luật lao động người sử dụng lao động không phải thực hiện nghĩa vụ nào trong số các nghĩa vụ sau đây?|Khai báo kịp thời với cơ quan nhà nước để bắt giữ người lao động vi phạm nghiêm trọng kỷ luật lao động.
Theo Luật phòng, chống thiên tai, phương án ứng phó thiên tai được xây dựng dựa trên các căn cứ nào?|Các loại thiên tai và cấp độ rủi ro thiên tai có khả năng xảy ra; Năng lực ứng phó thiên tai; Khả năng phối hợp và hỗ trợ của các lực lượng và chính quyền các cấp.
Theo Nghị định số 06/2021/NĐ-CP, trách nhiệm của nhà thầu trong việc báo cáo chủ đầu tư về những nội dung gì?|Tiến độ, chất lượng, khối lượng, an toàn lao động và vệ sinh môi trường theo hợp đồng xây dựng và quy định của pháp luật khác có liên quan hoặc báo cáo đột xuất theo yêu cầu của chủ đầu tư.
Theo Nghị định số 37/NĐ-CP ngày 15/5/2016 thì hồ sơ hỗ trợ điều tra lại TNLĐ, BNN theo yêu cầu của cơ quan hảo hiểm gồm:|Biên bản điều tra lại TNLĐ, BNN; Quyết định thành lập Đoàn Điều tra TNLĐ, BNN.; Chứng từ chứng thực thanh toán chi phí điều tra lại TNLĐ, BNN.
Theo Nghị định số 39/NĐ-CP ngày 15/5/2016 thì NSDLĐ xác định mục tiêu và các biện pháp phù hợp để phòng, chống tác hại của các yếu tố nguy hiểm, cỏ hại tại nơi làm việc, theo thứ tự ưu tiên sau đây:|Loại trừ ngay từ khâu thiết kế nhà xưởng, lựa chọn công nghệ, thiết bị, nguyên vật liệu; - Ngăn chặn, hạn chế sự tiếp xúc, giảm thiểu tác hại bằng việc sử dụng các biện pháp kỹ thuật - Áp dụng các biện pháp tổ chức, hành chính.
